title,description,category,published_at,polarity,subjectivity,label,fetch_timestamp,processed_title,processed_description,url
"Shibarium TVL surges: Impact on Shiba Inu’s burn rate, SHIB’s price - AMBCrypto News","Shibarium’s Total Value Locked (TVL) hits a record $4.72 million, reflecting growing adoption in the ecosystem.",business,2024-11-24T04:04:10Z,0.0,0.75,1,2024-11-25 00:36:31,shibarium tvl surges impact on shiba inus burn rate shibs price  ambcrypto news,shibariums total value locked tvl hits a record 472 million reflecting growing adoption in the ecosystem,
"AVAX jumps 100%! Will Avalanche hit $60 now, or is a pullback here? - AMBCrypto News","Avalanche surges 100% after key breakout. Can it sustain momentum and hit $60, or is a pullback coming?",business,2024-11-24T00:04:07Z,0.0,1.0,1,2024-11-25 00:36:31,avax jumps 100 will avalanche hit 60 now or is a pullback here  ambcrypto news,avalanche surges 100 after key breakout can it sustain momentum and hit 60 or is a pullback coming,
Anxiety drug Clonazepam recalled for mislabeling; could cause a 'life-threatening' event - USA TODAY,"Clonazepam, an anxiety drug, is being voluntarily recalled for the potential to cause a “life-threatening” event.",business,2024-11-23T22:12:38Z,0.0,1.0,1,2024-11-25 00:36:31,anxiety drug clonazepam recalled for mislabeling could cause a lifethreatening event  usa today,clonazepam an anxiety drug is being voluntarily recalled for the potential to cause a lifethreatening event,
DOJ tells Google to sell Chrome - TechCrunch,"Welcome back to Week in Review. This week, we’re exploring the DOJ telling Google to sell off Chrome to break up its monopoly, OpenAI accidentally",business,2024-11-23T21:17:00Z,0.4,0.45,2,2024-11-25 00:36:31,doj tells google to sell chrome  techcrunch,welcome back to week in review this week were exploring the doj telling google to sell off chrome to break up its monopoly openai accidentally,
Michael Saylor Reveals MicroStrategy Is 'Making $500M A Day' With Bitcoin - Yahoo Finance,MicroStrategy Inc. (NASDAQ:MSTR) co-founder Michael Saylor has revealed that the company is minting $500 million a day as Bitcoin (CRYPTO: BTC) inches closer...,business,2024-11-23T21:00:31Z,0.0,0.0,1,2024-11-25 00:36:31,michael saylor reveals microstrategy is making 500m a day with bitcoin  yahoo finance,microstrategy inc nasdaqmstr cofounder michael saylor has revealed that the company is minting 500 million a day as bitcoin crypto btc inches closer,
Listeria outbreak: Recall issued as US says infant died - BBC.com,"The listeria outbreak, linked to ready-to-eat meat, is known to have sickened 11 people.",business,2024-11-23T20:16:11Z,0.0,0.0,1,2024-11-25 00:36:31,listeria outbreak recall issued as us says infant died  bbccom,the listeria outbreak linked to readytoeat meat is known to have sickened 11 people,
Bluesky Overtakes Threads as Liberals Flee MAGA Trolls on X - The Daily Beast,"Prior to Nov. 5, Threads had five times more daily US users than Bluesky.",business,2024-11-23T20:09:00Z,0.1666666666666666,0.1666666666666666,2,2024-11-25 00:36:31,bluesky overtakes threads as liberals flee maga trolls on x  the daily beast,prior to nov 5 threads had five times more daily us users than bluesky,
"Jaguar asks people to ""trust and reserve judgement"" on rebrand - BBC.com","The iconic carmaker's rebrand has certainly caught people's attention, but will it pay off?",business,2024-11-23T19:34:01Z,0.3571428571428571,0.5357142857142857,2,2024-11-25 00:36:31,jaguar asks people to trust and reserve judgement on rebrand  bbccom,the iconic carmakers rebrand has certainly caught peoples attention but will it pay off,
Another SEC Departure: Commissioner Lizárraga To Step Down In January - Bitcoinist,"Commissioner Jaime Lizárraga of the Securities and Exchange Commission will step down on January 17th, three days before incoming US President Donald Trump’s",business,2024-11-23T19:00:39Z,-0.1555555555555555,0.2888888888888889,0,2024-11-25 00:36:31,another sec departure commissioner lizárraga to step down in january  bitcoinist,commissioner jaime lizárraga of the securities and exchange commission will step down on january 17th three days before incoming us president donald trumps,
Trump and GOP eye new limits on Consumer Financial Protection Bureau - The Washington Post,President-elect Donald Trump and Republicans in Congress are weighing vast changes to the CFPB that could limit its powers and funding.,business,2024-11-23T19:00:00Z,0.0,1.0,1,2024-11-25 00:36:31,trump and gop eye new limits on consumer financial protection bureau  the washington post,presidentelect donald trump and republicans in congress are weighing vast changes to the cfpb that could limit its powers and funding,
The McRib is returning for the holidays. Why isn’t it sold year-round? - CNN,The McRib and Nacho Fries disappear and reappear with no seeming pattern. Experts say that’s by design.,business,2024-11-23T18:00:00Z,0.0,0.0,1,2024-11-25 00:36:31,the mcrib is returning for the holidays why isnt it sold yearround  cnn,the mcrib and nacho fries disappear and reappear with no seeming pattern experts say thats by design,
"Walmart Black Friday 2024 deals: The best sales from Apple, Ninja, Dyson and more - Yahoo Life","Major markdowns include an HP laptop for $199, a bestselling Sark vac for $97 and Airpods for $40 off.",business,2024-11-23T17:03:43Z,0.0625,0.5,1,2024-11-25 00:36:31,walmart black friday 2024 deals the best sales from apple ninja dyson and more  yahoo life,major markdowns include an hp laptop for 199 a bestselling sark vac for 97 and airpods for 40 off,
"McDonald's announces 'new year, new menu' for 2025 - KARE11.com",The McValue menu will include its $5 meal deal and some new ways to save.,business,2024-11-23T17:01:03Z,0.1363636363636363,0.4545454545454545,2,2024-11-25 00:36:31,mcdonalds announces new year new menu for 2025  kare11com,the mcvalue menu will include its 5 meal deal and some new ways to save,
Traveling during the holidays can be stressful. These tips can make it a little easier - The Associated Press,"Travel, especially during the holiday season, can be stressful. But following some tips from the pros as you prepare for a trip can make for a smoother, less anxious experience. One expert traveler suggests making a list a week before you go of things you nee…",business,2024-11-23T15:55:00Z,-0.1041666666666666,0.5416666666666667,0,2024-11-25 00:36:31,traveling during the holidays can be stressful these tips can make it a little easier  the associated press,travel especially during the holiday season can be stressful but following some tips from the pros as you prepare for a trip can make for a smoother less anxious experience one expert traveler suggests making a list a week before you go of things you nee,
Goldman Sachs takes $900mn hit on Northvolt investment - Financial Times,US bank is second-largest shareholder in Swedish battery maker which filed for Chapter 11 bankruptcy this week,business,2024-11-23T15:19:47Z,0.0,0.0,1,2024-11-25 00:36:31,goldman sachs takes 900mn hit on northvolt investment  financial times,us bank is secondlargest shareholder in swedish battery maker which filed for chapter 11 bankruptcy this week,
These key 401(k) plan changes are coming in 2025. Here's what savers need to know - CNBC,"Starting in 2025, key 401(k) plan changes enacted via Secure 2.0 could make saving for retirement easier. Here's what investors need to know.",business,2024-11-23T14:00:01Z,0.1333333333333333,0.5666666666666668,2,2024-11-25 00:36:31,these key 401k plan changes are coming in 2025 heres what savers need to know  cnbc,starting in 2025 key 401k plan changes enacted via secure 20 could make saving for retirement easier heres what investors need to know,
Bitcoin 'wild' odds see 85% chance of BTC price above $100K by New Year - Cointelegraph,"Bitcoin prediction markets still see $100,000 hitting by New Year despite mounting BTC price selling pressure.",business,2024-11-23T13:43:48Z,0.1363636363636363,0.4545454545454545,2,2024-11-25 00:36:31,bitcoin wild odds see 85 chance of btc price above 100k by new year  cointelegraph,bitcoin prediction markets still see 100000 hitting by new year despite mounting btc price selling pressure,
"Financial Crime Weekly: UPS Pays $45M Fine, BIT Mining Pays $4M Fine For Bribery - Benzinga",UPS pays a $45 million fine for misrepresenting its earnings and BIT Mining pays a $4 million fine for bribery of foreign officials.,business,2024-11-23T13:00:43Z,0.2361111111111111,0.375,2,2024-11-25 00:36:31,financial crime weekly ups pays 45m fine bit mining pays 4m fine for bribery  benzinga,ups pays a 45 million fine for misrepresenting its earnings and bit mining pays a 4 million fine for bribery of foreign officials,
7 Best Black Friday iPad Deals for 2024 - MacRumors,"We're less than one week away from Black Friday on November 29, and Best Buy and Amazon currently have all-time low prices across Apple's...",technology,2024-11-23T21:44:00Z,0.1333333333333333,0.3,2,2024-11-25 00:36:31,7 best black friday ipad deals for 2024  macrumors,were less than one week away from black friday on november 29 and best buy and amazon currently have alltime low prices across apples,
"At The Exact Same Time, The Garmin Forerunner 55 And 255 Have Crashed to Record Low Prices - Gizmodo","The Forerunner 55 is better suited for casual athletes, while the Forerunner 255 is a top choice for regular enthusiasts.",technology,2024-11-23T21:39:52Z,0.125,0.4858974358974359,2,2024-11-25 00:36:31,at the exact same time the garmin forerunner 55 and 255 have crashed to record low prices  gizmodo,the forerunner 55 is better suited for casual athletes while the forerunner 255 is a top choice for regular enthusiasts,
"OpenAI Is Reportedly In Talks With Samsung To Bring Its AI Capabilities To Galaxy Devices, Posing A Major Challenge To Google - Wccftech","OpenAI is reportedly partnering up with Samsung to bring its AI capabilities to Samsung-made devices, posing challenge to Google",technology,2024-11-23T20:43:00Z,0.0,0.0,1,2024-11-25 00:36:31,openai is reportedly in talks with samsung to bring its ai capabilities to galaxy devices posing a major challenge to google  wccftech,openai is reportedly partnering up with samsung to bring its ai capabilities to samsungmade devices posing challenge to google,
"Xbox Game Pass Users Warned to ""Beware"" of Huge New Day One Game - ComicBook.com",Xbox Game Pass subscribers across Xbox Series X and PC have been warned that a huge new day one game has some serious issues.,technology,2024-11-23T20:31:33Z,-0.1193939393939394,0.5642424242424242,0,2024-11-25 00:36:31,xbox game pass users warned to beware of huge new day one game  comicbookcom,xbox game pass subscribers across xbox series x and pc have been warned that a huge new day one game has some serious issues,
Level Up Your Gaming With These Early Nintendo Switch Black Friday Deals - PCMag,"Black Friday is bringing big discounts on Nintendo Switch consoles, games, and gear. Now’s the perfect time to grab some early deals and power up your playtime.",technology,2024-11-23T20:30:57Z,0.2333333333333333,0.4583333333333333,2,2024-11-25 00:36:31,level up your gaming with these early nintendo switch black friday deals  pcmag,black friday is bringing big discounts on nintendo switch consoles games and gear nows the perfect time to grab some early deals and power up your playtime,
Galaxy Watch 7 Thinks It's Slick at $40 - Droid Life,"For those of you who ended up skipping the “early” Black Friday deals, you made a wise decision if you were eyeing a device like Samsung’s Galaxy Watch 7. For this weekend, you can grab one for as little as $40. Not a typo there – this $300 watch is down to j…",technology,2024-11-23T19:30:43Z,0.0580555555555555,0.4844444444444444,1,2024-11-25 00:36:31,galaxy watch 7 thinks its slick at 40  droid life,for those of you who ended up skipping the early black friday deals you made a wise decision if you were eyeing a device like samsungs galaxy watch 7 for this weekend you can grab one for as little as 40 not a typo there  this 300 watch is down to j,
"Robotic shorts could help people walk farther. Yes, robotic shorts. - The Washington Post",The shorts were designed to be worn over everyday clothes.,technology,2024-11-23T19:30:25Z,-0.2,0.6,0,2024-11-25 00:36:31,robotic shorts could help people walk farther yes robotic shorts  the washington post,the shorts were designed to be worn over everyday clothes,
"All Of Sony’s PlayStation 5 Models, Including The ‘Pro’ Version, Are Discounted By Up To 25 Percent For Amazon Black Friday 2024 - Wccftech",Amazon Black Friday 2024 sale has all three of Sony’s PlayStation 5 consoles listed and has slashed their prices by up to 25 percent,technology,2024-11-23T19:20:00Z,-0.1666666666666666,0.4333333333333333,0,2024-11-25 00:36:31,all of sonys playstation 5 models including the pro version are discounted by up to 25 percent for amazon black friday 2024  wccftech,amazon black friday 2024 sale has all three of sonys playstation 5 consoles listed and has slashed their prices by up to 25 percent,
"The new Mail app in iOS 18.2 is nice, but I disabled one of its main features - 9to5Mac","With iOS 18.2, Apple introduced an all new Mail app. It introduced mail categorization, a fresh coat of paint, contact...",technology,2024-11-23T18:56:00Z,0.2181818181818181,0.4772727272727273,2,2024-11-25 00:36:31,the new mail app in ios 182 is nice but i disabled one of its main features  9to5mac,with ios 182 apple introduced an all new mail app it introduced mail categorization a fresh coat of paint contact,
Apple Issues New Warning For Millions Of MacBook Users - Forbes,Apple confirms two macOS vulnerabilities and the need to take immediate action to protect yourselves...,technology,2024-11-23T17:24:36Z,0.1,0.1,1,2024-11-25 00:36:31,apple issues new warning for millions of macbook users  forbes,apple confirms two macos vulnerabilities and the need to take immediate action to protect yourselves,
